ClavedeFonograma,Titulo,Subtítulo,Intérprete principal,Intérpretes Invitados,Intérprete articipante,Soporte físico,Editora,Número de catálogo,Ciudad de Edición,País de Edición,Año,Pistas,Observaciones
1003,Canciones de Cri-Cri. El ratón vaquero,,Flavio y su conjunto original,,,LP,ACCIÓN,ACP- 101,Estado de México,México,s/d,"Lado A: 1. Negrito sandía (F. Gabilondo S.), 2. La merienda (F. Gabilondo S.), 3. El ratón vaquero (F. Gabilondo S.), 4. El negrito bailarín (F. Gabilondo S.), 5. El chivo ciclista (F. Gabilondo S.); Lado B: 1. La canción de las brujas (F. Gabilondo S.), 2. Chong Ki Fu (F. Gabilondo S.), 3. La jota de la jota (F. Gabilondo S.), 4. Che Araña (F. Gabilondo S.), 5. Los caballitos (F. Gabilondo S.)",Se cuenta sólo con el disco pero no con la portada.En el marbete no aparece el año de edición o de registro de los derechos de Producción (P).
1006,Canciones de Cri-Cri,,Yolanda del Campo,,Conjunto de Pepe Agüeros,LP,RCA,PCS 4629-A (lado 1) y PCS 4630-B (lado 2),,[México],s/d,"Lado 1: 1. La marcha de las letras (F. Gabilondo S.), 2. Clarincito (F. Gabilondo S.), 3. La muñeca fea (F. Gabilondo S.), 4. Los cochinitos (F. Gabilondo S.), 5. Chinesca (F. Gabilondo S.), 6. El ropero (F. Gabilondo S.); Lado 2: 1. Di por qué (F. Gabilondo S.), 2. El marinero (F. Gabilondo S.), 3. El negrito sandía (F. Gabilondo S.), 4. Lunada (F. Gabilondo S.), 5. La patita (F. Gabilondo S.), 6. La merienda (F. Gabilondo S.)",Se cuenta con el disco pero no con la portada. En el marbete se señala que es una grabación especial para las estancias infantiles de las Casas de la Asegurada del IMSS.
1041,Las canciones de Cri-Cri,,Flavio y su conjunto,,,LP,CORITO KOMPATIBLE,CCF-08,,México,1968,"Lado A: 1. El ropavejero (F. Gabilondo S.), 2. Cómo le va (F. Gabilondo S.), 3. Ojitos de cascabel (F. Gabilondo S.); Lado B: 1. La muñeca fea (F. Gabilondo S.), 2. El marinero (F. Gabilondo S.), 3. Los cochinitos dormilones (F. Gabilondo S.)","Este disco es de 33 1/3 RPM,  mide 17.5 cm. En Tipo de objeto aparece LP, ya que no existe en el menú otra denominación para este formato.
El fonograma incluye un cuento de Cri-Cri, se cuenta con el disco, pero no con la portada ni con el cuento. En marbete: ""Impreso en México por Coro, S. A."""
1042,Las canciones de Cri-Cri,,Flavio y su conjunto,,,LP,CORITO,CCF-06,,México,1968,"Lado A: 1. Papá elefante (F. Gabilondo S.), 2. El burrito (F. Gabilondo S.), 3. El venadito (F. Gabilondo S.) ;Lado B: 1. La mariposa (F. Gabilondo S.), 2. El carrousel (F. Gabilondo S.), 3. Doña Cocorito (F. Gabilondo S.)","Este disco es de 33 1/3 RPM,  mide 17.5 cm. En Tipo de objeto aparece LP, ya que no existe en el menú otra denominación para este formato.
El fonograma incluye un cuento de Cri - Crí, se cuenta con el disco, pero no con la portada  ni con el cuento. En portada aparece: ""Canta Flavio y Yolanda del Campo""."
1152,Vamos a jugar,,"La estudiantina infantil, Compañía infantil de teatro",,,LP,Cisne,CI-3-02,,México,1980,"LP 3 Lado A: 1. Vamos a jugar (Acuario-C. Antonori - Sabina), 2. El patio de mi casa (D. P.), 3. Naranja dulce (D. P.), 4. La muñeca azul (D. P.), 5. A la víbora de la mar (D. P.); Lado B: 1. Doña Blanca, 2. El cojo (D. P.), 3. A Madrú, señores (D. P.), 4. Arroz con leche, 5. La rueda de San Miguel","La pista 3 Lado B aparece registrada en el marbete como A Mandrú señores. Se utilizó un título o nombre ""normalizado"" en el campo correspondiente a fin de hacer más claro la aparición de nombres propios y/o títulos en los índices. Es un álbum de tres discos, pero sólo se cuenta con el tercero. Jorge Yáñez (arreglista y adaptación) para las pistas 1, 4 y 5 del Lado B. La información detallada del arreglista se encuentra tanto en el marbete como en la contraportada del fonograma."
1153,El show de El gorila y su pandilla,,El gorila y su pandilla,,,LP,s/d,D-2004,,[México],s/d,"Lado A: 1. Tema del gorila y su pandilla (G. A. Luna G.), 2. Las mañanitas (D. P.), 3. El gorila baila rock (E. A. Luna G.), 4. Jugar es la canción (E. A. Luna G.), 5. La fiesta del gorila y su pandilla (G. A. Luna G. / E. A. Luna G. / F. del C. Soto G.), 6. El soñador (G. A. Luna G.); Lado B: 1. Un grupo musical (G. A. Luna G. / E. A. Luna G. / F. del C. Soto G.), 2. La tortuguita (G. A. Luna G.), 3. El Duby del ratón (E. A. Luna G.), 4. El zoológico (F. del C. Soto G.), 5. El rock de la pandilla (G. A. Luna G.), 6. Despedida de la pandilla (Gabilondo S. / F. H. Luna G.)","El gorila y su pandilla (arreglos), Antonio Reyes/Roberto Díaz (ingenieros de grabación). La información detallada de arreglos y créditos técnicos se encuentra en la contraportada del fonograma."
1154,Rondas infantiles,,Luz Bermejo y su coro de niños,,,LP,Melody,M3LP-01,,México,s/d,"LP 1 Lado A: 1. A la víbora de la mar, 2. La pájara pinta, 3. El agua clara, 4. Hilitos, hilitos de oro, 5. Los maderos de San Juan, 6. Al ánimo; Lado B: 1. Juan Pirulero, 2. Los monos en el carrusel, 3. Cuánto me das marinero, 4. El pollito conquistador, 5. El patio de mi casa, 6. El conejo, 7. Brinca la tablita; LP 2 Lado A: 1. Naranja dulce, 2. Los diez perritos, 3. La niña María, 4. El ferroviario, 5. Matarilerilerileron, 6. El pájaro verde; Lado B: 1. Doña Blanca, 2. La viudita, 3. Mambrú, 4. Do re mi, 5. Alicia va en el coche; LP 3 Lado A: 1. Mambrú se fue a la guerra, 2. Una linda mañana, 3. La farolera, 4. Una tarde fresquita de mayo, 5. Santa Teresa, 6. Muy buen día su señoría, 7. Tengo una muñeca, 8. En coche va una niña, 9. Blanca paloma, 10. Juguemos en el bosque; Lado B: 1. Arroz con leche, 2. Se me perdió una niña, 3. Yo la quiero ver bailar, 4. Se va la barca, 5. Sobre el puente de Avignon, 6. La torre en guardia, 7. Entre San Juan y San Pedro, 8. Antón Pirulero, 9. Cucu cantaba la rana, 10. Aserrín aserrán","Álbum de tres LP. La pista 6  Lado A del LP 1 aparece registrada tanto en marbete como en la portada como ""Alanimo"". Se utilizó un título o nombre ""normalizado"" en el campo correspondiente a fin de hacer más claro la aparición de nombres propios y/o títulos en los índices. José Perea, Enrique Menéndez, Guillermo Bermejo, D. A. R. (arreglos). La información detallada de arreglistas se encuentra en el marbete. En la contraportada: ""Hecho en México por Discos y cartuchos de México, S. A."""
1158,Rondas infantiles,,Compañía infantil de T. V. (Televicentro) dirigida por Juan S. Garrido,,,LP,RCA Víctor,MKLA/S-72,,México,s/d,"LP 1 Lado 1: 1. A la víbora de la mar, 2. Doña Blanca, 3. La pájara pinta, 4. Naranja dulce, 5. Brinca la tablita, 6. Hilitos, hilitos de oro; Lado 2: 1. Matarile - rile - ro, 2. Los maderos de San Juan (J. S. Garrido), 3. Al ánimo (J. S. Garrido), 4. Juan Pirulero (J. S. Garrido), 5. En el agua clara, 6. Mambrú; LP 2 Lado 1: 1. El patio de mi casa, 2. El sapito, 3. El conejo, 4. San Serafín, 5. El acitrón, 6. Soy cojo de un pie; Lado 2: 1. Juego de vocales, 2. De la una a las dos, 3. Los monos en el volantín, 4. La paloma azul, 5. Avena, avena, 6. El relojito; LP 3 Lado 1: 1. La viudita, 2. Don Pirulí, 3. Los diez perritos, 4. Que llueva, que llueva, 5. El merecumbé, 6. Los elefantes; Lado 2: 1. A Madrú, señores-La rueda de San Miguel, 2. El milano (J. S. Garrido), 3. El barco chiquito, 4. El juego del calentamiento, 5. La rana, 6. Califoris","Álbum de tres discos. La pista 1 Lado 2 aparece registrada en el fonograma de la siguiente manera: A Mandrú señores. Se utilizó un título o nombre ""normalizado"", en el campo correspondiente, a fin de hacer más clara la recuperación de nombres propios y/o títulos en los índices."
1159,Canciones y juegos infantiles,,"Evangelina Elizondo y su conjunto, Yolanda del Campo y Conjunto de Carlos Oropeza, Tío Herminio, Conjunto de Eleazar Martínez, coro infantil y solistas",,,LP,ACCIÓN,"ACP-102, ACP-118, ACP-109",,México,"1965 (disco 1), 1968 (disco 2) y 1976 (disco 3)","LP 1 Lado A: 1. El músico, 2. La pelota, 3. Los dedos, 4. Patito, patito, 5. Adivinanzas, 6. Cantando cantamos 7. Aserrín aserrán; Lado B: 1. Acitrón, 2. Así palmadas damos, 3. La máquinita, 4. A la rueda jugaremos, 5. Las horas, 6. Mambrú se fue a la guerra, 7. Juan Pirulero; LP 2 Lado A: 1. Se presenta el Tío Herminio, 2. Las rejas de Chapultepec, 3. El gato con botas, 4. Zempa Tempa-Karempa, 5. Los Reyes Magos, 6. La canción de Jaimito, 7. La canción del genio; Lado B: 1. Paraditos aquí, 2. Juanito el pastor, 3. Caprichitos, 4. La princesa triste, 5. La clase del sol bonito, 6. Los tres canarios; LP 3 Lado A: 1. Doña Blanca, 2. Los perritos, 3. Matarililiriron, 4. En el agua clara, 5. El patio de mi casa; Lado B: 1. Tengo una muñeca, 2. Naranja dulce, 3. A la rorro niño, 4. A la víbora de la mar, 5. San Serafín","Álbum de 3 discos. Disco 1, ""Canciones infantiles"". Disco 2, ""Juegos infantiles"". Disco 3,  ""Las rejas de Chapultepec"". Existen dos álbumes con el mismo contenido pero con diferente portada y año de edición  (el segundo de 1974)."
1161,Jardín de niños,Canciones infantiles,Lucha Bermejo y Conjunto de Gustavo Pimentel,,,LP,DIMSA,DML-90001,México,México,s/d,"Lado A: 1. El vaquero Pecos Bill (Lange - D. E. Santos), 2. El remendón moro (G. Bermejo), 3. Bartolo toca la flauta (D. P.), 4. Pinocho (F. Cabanillas), 5. Don Quijote de la Mancha (R. Briand); Lado B: 1. Mambrú se fue a la guerra (R. Lambertucci), 2. Una tarde fresquita de mayo (D. P.), 3. Yo soy el aviador (G. Bermejo), 4. Mi tío (F. Barcellini, H. Contet y J. C. Carriere), 5. Cristóbal Colón (R. Briand)",
1163,"Tablas, rondas y cuentos",,"Estudiantina ""Los colegiales"" y La rondallita, Grupo Infantil de Teatro",,,LP,Cisne,CI-3-10,,México,1980,"LP 1 Lado 1: 1. La tabla del 1, 2. La tabla del 2, 3. La tabla del 3, 4. La tabla del 4, 5. La tabla del 5; Lado 2: 1. La tabla del 6, 2. La tabla del 7, 3. La tabla del 8, 4. La tabla del 9, 5. La tabla del 10; LP 2 Lado 1: 1. El patio de mi casa, 2. Los perritos, 3. Naranja dulce, 4. Al lobo, 5. A pares y nones; Lado 2: 1. Doña Blanca, 2. Pin Pon, 3. La muñeca vestida de azul, 4. Amó, ató, 5. A la víbora de la mar; LP 3 Lado 1: 1. Caperucita Roja, 2. Pinocho; Lado 2: 1. Pulgarcito, 2. El gato con botas","Álbum de tres discos. Disco 1, Tablas de multuplicar. Disco 2, Rondas. Disco 3, Cuentos. La pista  4 Lado 2 del Disco 2 aparece registrada en el fonograma de la siguiente manera: Amo a to. Se utilizó un título o nombre ""normalizado"" en el campo correspondiente a fin de hacer más claro la aparición de nombres propios y/o títulos en los índices."
1164,Multiplicando con Juan Pestañas,,Juan Pestañas,,,LP,ACCIÓN,ACP-107,Estado de México,México,1976,"Lado A: 1. Tablas de multiplicar del 1 al 5 (1), 2. Tablas de multiplicar del 1 al 5 (2), 3. Tablas de multiplicar del 1 al 5 (3), 4. Tablas de multiplicar del 1 al 5 (4), 5. Tablas de multiplicar del 1 al 5 (5); Lado B: 1. Tablas de multiplicar del 6 al 10 (6), 2. Tablas de multiplicar del 6 al 10 (7), 3. Tablas de multiplicar del 6 al 10 (8), 4. Tablas de multiplicar del 6 al 10 (9), 5. Tablas de multiplicar del 6 al 10 (10).",
1165,Sumando con Juan Pestañas,,Juan Pestañas,,,LP,ACCIÓN,ACP-1008,,México,s/d,"Lado A: 1. Tablas de sumar (1), 2. Tablas de sumar (2), 3. Tablas de sumar (3), 4. Tablas de sumar (4), 5. Tablas de sumar (5); Lado B: 1. Tabla del 6, 2. Tabla del 7, 3. Tabla del 8, 4. Tabla del 9, 5. Tabla del 10","Se cuenta con el disco, pero no con la portada. Este disco tiene el mismo contenido que los fonogramas 695 de 1968, 696 de 1976 y 996 de 1977."
1168,Baby a Go Go,,Conjunto Los espías,,,LP,CBS Harmony Columbia,HL 8341,,México,1966,"Lado 1: 1. La rana, 2. El patio de mi casa, 3. El pescadito, 4. La máquina, 5. Mambrú, 6. El conejo; Lado 2: 1. Hilitos de oro, 2. A la víbora de la mar, 3. Matarile ri le ron, 4. La pájara pinta, 5. La cucaracha",En contraportada aparecen las letras de las canciones.
1169,Esto es una fiesta para los niños,,"Compañía infantil de Televicentro (L1, 2; L2, 2) Piero (L1, 1; L2, 3), Heidi (L1, 3; L2, 1), Cri-Cri (L1, 4; L2, 3), El duende Bubulín (L1, 5; L2,6)",,,LP,RCA,RX-58,,México,1980,"Lado 1: 1. Sinfonía en ""La"" Mar (A. Mayol - Piero), 2. Doña Blanca (D. P.), 3. Pedro y yo (E. Kishida - T. Watanabe), 4. Caminito de la escuela (F. Gabilondo S.), 5. Vamos de paseo (J. C. Abara), 6. La patita (F. Gabilondo S.); Lado 2: 1. Dime abuelito (E. Kishida - T. Watanabe), 2. A la víbora de la mar (D. P.), 3. La marcha de las letras (F. Gabilondo S.), 4. El trenecito del oeste (A. Mayol), 5. Naranja dulce (D. P.), 6. Papo el zapato (J. C. Abara)",En el marbete se indica que es un disco promocional y en la portada aparece el logo de Radio Mil.
1170,Los 10 éxitos de radio infantil,,"Margarita Robleda (L1, 1), Juan Pestañas (L1,2), Lupita Vega y Los Chackaymanta (L1, 3), Jorge ""El músico ambulante"" (L1, 4,) los Hermanos Zavala (L1, 5), Kitzia y Gabriela (L2, 1), María Elena Walsh (L2, 2), Carmelita Molina (L2, 3), Amparo Ochoa (L2, 4)",,,LP,Instituto Mexicano de la Radio,s/d,,[México],s/d,"Lado 1: 1. El caracol (M. Robleda), 2. Polito, Polito (J. C. Abara), 3. A mi burro (D. P.), 4. El pato y el enanito (J. Luján - M. Meneses), 5. La canción del festival (J. A. Zavala R.); Lado 2: 1. El titiritero (G. Huesca/K.Weiss), 2. El reino del revés (M. E. Walsh), 3. Niño canta alegre (C. Molina), 4. El vaquerito (D. P.), 5. Al compás del rataplán (A. Lozano)",
1171,El mensaje de la estrella,,"Alejandra Romo Wiechers ""Luminita"", Liliana Abaroa Suzarte ""Rayo""",,,LP,EMI Capitol,SC-AV701,,México,1983,"Lado A: 1. Obertura (E. Ortiz T. K. / A. Tapia F.), 2. Canción de la estrella (J. Ortiz T. K. / A. Tapia F.), 3. Amor, niño y libertad (J. Ortiz T. K. / E. Ortiz T. K. / A. Tapia F.), 4. Himno a la naturaleza (J. Ortiz T. K. / E. Ortiz T. K. / A. Tapia F.); Lado B: 1. No es el mundo (J. Ortiz T. K. / E. Ortiz T. K. / A. Tapia F.), 2. Todo parece perdido (J. Ortiz T. K. / E. Ortiz T. K. / A. Tapia F.), 3. Encontramos a Dios (J. Ortiz T. K. / E. Ortiz T. K. / A. Tapia F.), 4. Ahora somos libres (J. Ortiz T. K. / E. Ortiz T. K. / A. Tapia F.)","En contraportada: Inspirada en el cuento ""La estrella y chispita"", original de Margarita Kelly de Ortiz Tirado. Argumento: Margarita Kelly de Ortiz Tirado, Javier Prieto Sánchez Mejorada y Javier Ortiz Tirado Kelly."
1172,Los 3 Reyes Magos,,Los Hermanos Zavala,,,LP,Audion,ALP-108,México,México,s/d,"Lado 1: 1. Obertura (J. A. Zavala), 2. El arcángel Gabriel (J. A. Zavala), 3. La canción de la estrella (A. Torres P. / J. A. Zavala), 4. Tema del Rey Melchor (J. A. Zavala), 5. Tema del Rey Gaspar (J. A. Zavala), 6. Tema del Rey Baltasar (J. A. Zavala), 7. La casita de Nazareth (J. A. Zavala), 8. Las tres primeras posadas (D. P.), 9. La sirena de Metepec (I. Zavala); Lado 2: 1. La cuarta posada (D. P.), 2. Tema del Rey Herodes (J. A. Zavala), 3. Los sabios del rey (A. Torres P. / J. A. Zavala), 4. Olbaid (J. A. Zavala), 5. La quinta posada (D. P.), 6. Murcio (J. A. Zavala), 7. Camino a Belem (J. A. Zavala), 8. Belem (J. A. Zavala), 9. Los tres Reyes Magos (J. A. Zavala)",Música original de la película.
1173,Mensaje a los niños,Por el Padre Machado,Padre Machado con Los Polifón,,"Marcos García, Águeda Márquez, Sergio Nava, Evangelina Nava",LP,Discos Viansa,VI-79721,"Ciudad Juárez, Chihuahua",México,s/d,"Lado A: 1. Introducción, 2. Sonrisa de un niño, 3. La abuelita, 4. El ratoncito, 5. El sapito; Lado B: 1. El gatito pirulí, 2. El perrito catrín, 3. El patito, 4. El torito entrometido, 5. El pollito","En portada y contraportada aparece la leyenda: ""Año Internacional del Niño"", sin especificar a qué año se refiere. Es una edición diferente a 1173 con las mismas canciones pero con variaciones en los títulos."
1174,Mensaje a los niños,Por el Padre Machado,Padre Machado con Los Polifón,,"Marcos García, Águeda Márquez, Sergio Nava, Evangelina Nava",LP,Discos Viansa,s/d,"Ciudad Juárez, Chihuahua",México,1990,"Lado A: 1. Introducción - Sonrisa de un niño, 2. La abuelita, 3. El ratoncito, 4. El sapito; Lado B: 1. El gatito pirulí, 2. El perrito catrín, 3. El patito, 4. El torito entrometido, 5. El pollito","En portada y contraportada aparece la leyenda: ""Año Internacional del Niño"" sin especificar a qué año se refiere. Tiene el mismo contenido que el fonograma 1173, aunque a diferencia de este, está acompañado por un folleto con las letras de las canciones."
1175,Viaje a la isla de Kolitas,,s/d,,,LP,CBS,DCS-1031,,México,1984,"Lado 1: 1. Viaje a Kolitas (H. Hackady / R. McBrien / A. L. Negrete), 2. Lágrimas felices (H. Hackady / R. McBrien / A. L. Negrete), 3. Toda clase de amigos (H. Hackady / R. McBrien / A. L. Negrete), 4. Volcán feroz (H. Hackady / R. McBrien / A. L. Negrete), 5. Fosforeciendo (H. Hackady / R. McBrien / A. L. Negrete), 6. Deseo de un día de estrella (H. Hackady / R. McBrien / A. L. Negrete); Lado 2: 1. Bumerangutan (H. Hackady / R. McBrien / A. L. Negrete), 2. Las flores tienen sentimientos (H. Hackady / R. McBrien / A. L. Negrete), 3. Ángel por fuera (H. Hackady / R. McBrien / A. L. Negrete), 4. Acabo de nacer (H. Hackady / R. McBrien / A. L. Negrete), 5. Kolitas, isla de alegría (H. Hackady / R. McBrien / A. L. Negrete)","Alfonso López Negrete (producción), Roberto Espriú y A. L. Negrete (adaptación al español). La información detallada de créditos técnicos se encuentra en la contraportada del fonograma."
1176,Sólo para niños,,"Chabelo, Micro-Chips, Burbujas, Nifu…Nifa, Flans, Timbiriche",,,LP,MELODY Serie Cristal,s/d,,México,1990,"Lado A: 1. El grillo cantor (P. Toscano), 2. Angello (T. y J. Willy / B. Steinberg / T. Kelly), 3. Adiós Superman (P. Toscano), 4. Mimoso Ratón (S. Roche / J. García E.), 5. Kikiki Co Co Co (P. Franco / F. Antone / Denicek / Cecconi); Lado B: 1. Mosquito bilingüe (M. Villafañe / G. Vanni), 2. Cocorito (F. Feliciati / Foschini / Ceroni / Bosé), 3. Burbujas (S. Roche / J. García E.), 4. Grandes años del Rock and Roll (), 5. Ping pong (Pepsa / P. Bertrand / G. Pirazzoli / G, Pasano)",Tiene el mismo contenido que el fonograma 941.
1177,Oraciones y canciones para enseñar a los niños,Presentadas por el hada Alegría y Porrito el payaso,s/d,,,LP,Guitarra,DG-134,,México,1978,"Lado A: 1. Presentación del hada Alegría y Porrito el payaso-La señal de la cruz, 3. El Ave María, 3. El Padre Nuestro, 4. El gloria, 5. La salve, 6. El credo, 7. Señor mío, Jesucristo, 8. Yo pecador, 9. Oraciones para antes y después de comulgar, 10. Bendición de la mesa y acción de gracias, 11. Bendita sea tu pureza, 12. Oración al ángel de la guarda, 13. Jesusito de mi vida ;Lado B: 1. El patio de mi casa, 2. El cocherito Lere, 3. Quisiera ser tan alta, 4. Tengo un hermanito, 5. Pase Misi, 6. Había un ratoncito, 7. Pin Pon era un muñeco, 8. Tengo una muñeca, 9. Ratón que te pilla el gato, 10. A la rueda rueda, 11. Estaba el señor don gato, 12. Los pollitos dicen pío pío, 13. Que llueva, que llueva, 14. Al pasar la barca, 15. Dónde están las llaves-Matarile, 16. Mambrú se fue a la guerra, 17. Allá en La Habana, 18. Hay tres noches que no duermo","Tomás Málaga (guion, arreglos y adaptaciones). La información detallada de los créditos técnicos se encuentra en la contraportada del fonograma."
1178,Canciones infantiles del Tío Herminio,,Herminio Keny [El tío Herminio],,,LP,"DISCOS CISNE, S. A.",CI-1431,,México,s/d,"Lado A: 1. El tren de Chapultepec (H. Keny), 2. El patio de mi casa (Trad.), 3. En la tierra del oeste (H. Keny), 4. Naranja dulce (Trad.), 5. La piñata navideña (H. Keny); Lado B: 1. Nuestra Navidad (H. Keny), 2. La muñeca vestida de azul (Trad.), 3. Sueño infantil (H. Keny), 4. Doña Blanca-La Pipila (Trad. - H. Keny), 5. La hormiguita (H. Keny)","En contraportada se indica la participación artística de ""Tesi"" y un coro de niños sin ninguna otra especificación. Chucho Ricón (dirección artística), Juan Magdaleno (ingeniero de grabación). La información detallada de créditos técnicos se encuentra en la contraportada del fonograma."
1181,Carrusel infantil,,Micky Santini y Coros,,,LP,Discos Tiempo,LPT-116,,México,1977,"Lado A: 1. Un día con mamá (M. Morales), 2. Tomás (Laudermyk - Valdez), 3. Feliz cumpleaños (M. Santini), 4. El mundo es una bola (A. Lozano), 5. La Ramona (L. Portigo); Lado B: 1. La vecindad del Chavo (R. Gómez B.), 2. Óyelo, escúchalo (R. Gómez B.), 3. Peluchín (A. Lozano), 4. No llores Quico (M. L. Romero - Chamín Correa), 5. El Chapulín Colorado (R. Gómez B.)",En portada del fonograma aparece el título Feria infantil.
1182,15 Super éxitos de Burbujas,,,,,LP,CBS,TVTCD-111,,México,1983,"Lado A: 1. Burbujas (S. Roche / J. García E.), 2. Potpourrí de personajes (S. Roche / J. García E.), 3. Mugre, basura y smog (S. Roche - J. García E.), 4. Somos diferentes pero amigos de verdad (S. Roche - J. García E.), 5. Popotito 22 (S. Roche / J. García E.), 6. El juego de los nombres (D. A. R.), 7. Ejercicios (S. Roche / N. Méndez); Lado B: 1. Vamos al circo (S. Roche / H. Haberman), 2. Fantásticos payasos (S. Roche / H. Haberman), 3. ¡Ay! qué difícil (S. Roche / N. Méndez), 4. Mis héroes pillos son (S. Roche / H. Haberman), 5. Cuando yo sea grande (J. Castil), 6. El rock del chucu chucu (S. Roche / N. Méndez), 7. Agarra tu patín (E. Puente / N. Méndez), 8. ¿Dónde están los asteroides? (E. Puente / N. Méndez)","El contenido de este fonograma está integrado por pistas de otros fonogramas producidos en los años 1979, 1980, 1981, 1982 y 1983. 
Otros créditos en contraportada."
1183,El rapto del pandita,Una comedia musical de Citlalixayotl,"Mario Kontos (LA, 1; LB, 2) (vz), Sergio Aedo (LA, 3, 4) (vz), Astrid (LA, 4; LB, 1, 3) (vz), Antonio Diagar (LA, 6; LB, 2) (vz), Pedro Heredia (LB, 1) (vz).",,"Eduardo Seriña (bt), Alejandro Seriña (bj), David Rodríguez (gt), Pedro Heredia (pn), César Seriña (st),  Isabel Rivero (cr), Óscar Ugalde (cr)",LP,s/d,s/d,,México,s/d,"Lado A: 1. Introducción musical, 2. La primavera, 3. Tema de yin yan, 4. Niño mi niño, 5. Dame pronto la mano, 6. ¡Pum cata pum!; Lado B: 1. Debo amar, 2. Para qué sirven los animales, 3. Sonreír, 4. Dame pronto la mano",
1184,Chabelo,,Chabelo,,Estudiantina del Colegio Simón Bolívar del Pedregal dirigidos por Jesús Vázquez,LP,RCA,MKS-2240,,México,1981,"Lado 1: 1. Será como mamá y papá (N. Gurbich), 2. Canta, canta, canta niño (N. Gurbich), 3. Travesuras (D. Castañeda), 4. Por qué será, por qué será (Que estando la vaca atada el ternero no se va) (M. Manere), 5. La creación (A. Mayol); Lado 2: 1. Me llaman gaviota (R. Abramzon - T. Juaren), 2. Garabato colorado (Shark - T. de Rose), 3. Perrito maltés (E. Gold - S. Unthoff), 4. Yo no quiero un hermanito (J. C. Gil), 5. La canción de la abuela (A. Mayol)","Ricardo Toral (arreglos y dirección). Realizado por Raúl Tovar Sagrego. La información detallada de intérpretes, arreglos y realización se encuentra en la contraportada del fonograma."
1186,Topo Gigio,Él es mi amigo,Topo Gigio,,,LP,PHILIPS,LPR-15324,,México,1986,"Lado 1: 1. Él es mi amigo Topito (A. Concepción / C. Gallego / J. A. Rota), 2. El tren de chocolate (R. Mochulske / C. Gallego / E. Londaits / D. Band / M. Perego), 3. Cantando los números (O. Wilson / C. Gallego / M. Barbino / M. Perego), 4. Gigio saltarín (A. Concepción / P. Rossino / J. A. Rota), 5. Tacos y helados (E. Londaits / C. Gallego / C. Mazzullo); Lado 2: 6. Las mañanitas (D. P.), 7. Gigio en día del niño (M. Barbino / C. Gallego / O. Wilson / M. Perego), 8. El queso es lo más rico (A. Concepción / M. Perego / J. A. Rota), 9. Los globitos (J. Peretti / A. Coumo), 10. Las golondrinas (D. P.)","En marbete: ""Hecho en México y distribuido por Polygram Discos, S. A. de C. V."". En todas las canciones: ""PromexArg"", excepto Los globitos (anotación: ""Pham"") y Las mañanitas y Las golondrinas."
1187,Angélica Vale,,Angélica Vale,,,LP,RCA,MKS-2291,,México,1982,"Lado 1: 1. Mi vaquita (A. Ortiz - J. Mondellini - Balloni - Lumni), 2. Parapinpunpas (El Circo) (A. Ortiz - J. Mondellini - Verde - Marchesi - Baudo - Simonetti), 3. Mis zapatillas (R. Vale), 4. El perico (Bardotti - De Moraes - Endrigo - Enríquez - I. Bonillas), 5. Adivina adivinanza (Indorinelli M. - Balloni - Moretto - A. Ortiz); Lado 2: 1. Chapulín, chapulín (R. Vale), 2. El avioncito (A. Ortiz - J. Mondellini - De Moraes - Bardutti - Toquinho), 3. Canto, silbo y bailo (C. Bogey - A. Ortiz - J. Mondellini - Alford), 4. El columpio (A. Ortiz - J. Mondellini - Balloni - Moretto), 5. Paseo en trineo (Manzanero - Anderson)","Arreglos, dirección, producción y realización: Raúl Vale. Banda Tres Coros: Pandilla Dury Dury."
1189,Botones,Baby Rock,,,,LP,Epic,LNS-17307,,México,1979,"Lado A: 1. Presumida (Samwell), 2. La banda (J. E. Dapena), 3. Para pedirte perdón (J. Pardo), 4. Pancho López (T. Blackburn - G. Burns - L. Guerrero), 5. Bésame mami (K. Bethake - P. R. Heninen - B. Gody); Lado B: 1. Popotitos (Williams), 2. Pecos Bill (E. Daniel - J. Lange), 3. Doctor Brujo (R. Bagdassarian), 4. Me voy a enamoriscar (J. Pardo)",Grabado en España. Impreso en México. Producciones: Juan Pardo. Música/Pop.
1190,Promesas infantiles,Kool Aid,"Marian, Grupo Mavi, Fernando, Grupo Patos, Crazi Babys, Grupo Bombón, Siglo, Grupo Ricani, Pao y Jesús, Grupo Conty",,,LP,MELODY INTERNACIONAL,MITV/112-P87,,México,1987,"Lado A: 1. Tema Festival Vamos juntos* (Ma. E. de Esesarte / E. Siqueiros), 2. Amigos todos* (M. Labias), 3. Quiero saber por qué* (C. María), 4. Super Pato* (Luis Eusebio), 5. Es progreso* (Ma. L. Romero); 6. Coro loco** (V. Alberti); Lado B: 1. Seremos los primeros* (Gela), 2. Lucharé* (C. María), 3. Pintaré* (Prisma), 4. Dónde está el color* (T. Gómez), 5. Sonreír no cuesta nada*** (W. Pesqueira)","Dirección general: Juan Carlos Abara Halabi. Arreglos musicales: Pedro Alberto Cárdenas*, Paco Ayala**, Walterio Pesquera***."
