album,cancion,id,autor,texto_crudo,Clasifiacion
A VIAJAR SE HA DICHO,Una nueva escuela,A VIAJAR SE HA DICHO ||| Una nueva escuela,,"Hay reunión de los conejos Y de las ardillas para preguntar Quién de todos los que habitan En el viejo bosque pudiera enseñar A leer a los pequeños y a los demás Y a hacer una nueva escuela en ese lugar. Se le dijo a doña cabra pero se comió Las libretas y los libros y al monte corrió. Se le dijo al buen zorrillo pero se asustó Y bañándolos de almizcle, desapareció. Se asomó doña venada Con sus venaditos para proponer Que invitaran a don zorro, Don zorro el astuto que aprendió a leer Con los libros que el correo le suele traer Y le entregan en su casa siempre mes con mes. Visitaron a don zorro, pero se negó Y poniéndose las gafas, la espalda les dio. Le insistieron que enseñara, pero bostezó Y cerrando su lectura, sin más, se durmió. Dijo entonces don conejo “¡Vamos con don búho!, él si aceptará; Aunque vela por las noches Yo sé que es muy noble, nos escuchará. Es muy sabio y muy correcto, nos podrá ayudar Y jamás analfabetas el bosque tendrá”. Dijo “sí” con mucho agrado y les ofreció Construir un buen techado, ¡ya se los cumplió! En el bosque aprenden todos con gran rapidez Y en torno de una fogata muchos cuentos leen.",ESPAÑOL_ESTANDAR
A VIAJAR SE HA DICHO,¡A viajar se ha dicho!,A VIAJAR SE HA DICHO ||| ¡A viajar se ha dicho!,,"Si te sientes sola, o estás aburrido, No hay niñas ni niños con quienes jugar, Cerca hay un amigo que espera impaciente Para de la mano llevarte a pasear. ¡Tu amigo es un libro! ¡Ábrelo cuanto antes! ¡A viajar se ha dicho! ¡Vamos a leer! Cuando abres un libro inicias un viaje Sin comprar boleto o encontrar lugar, A solas o en grupo leer es divertido En un mundo nuevo tú te encontrarás. Mi amigo es un libro Lo abriré cuanto antes, ¡A viajar se ha dicho! Vamos a leer. Viaja al universo, llega hasta la luna, Brinca en las estrellas, pasea por el sol; Sube las montañas, viaja a los desiertos, Al abrir un libro lo conseguirás. Mi amigo es un libro… Métete en la historia, vístete con plumas, Ponte tenabaris y empieza a danzar Viaja a los océanos, monta una ballena, Nada entre corales, al leer llegarás. Mi amigo es un libro… Viaja en tus arterias, llega a tus pulmones, Descubre tu cuerpo, conócelo más; Cada libro es tuyo para que disfrutes Lo maravilloso de este tu lugar. Mi amigo es un libro… Lo conseguirás, Al leer lo harás, Y todo lograrás.",ESPAÑOL_ESTANDAR
CANTACUENTOS,CHANEQUE DE PIEL MORENA,CANTACUENTOS ||| CHANEQUE DE PIEL MORENA,,"CHANEQUE DE PIEL MORENA VEN A BAILAR ESTE GUSTO A LA POZA, ACÁ EN LA ARENA PA’ REFRESCARNOS A GUSTO. ACÁ LA GENTE ES MUY BUENA, CONTIGO NO PASAN SUSTO, SOY HUACHA DE PIEL MORENA, ¡ME ENCANTA BAILAR EL GUSTO! ¡ME ENCANTA BAILAR EL GUSTO! PA’L CHANEQUE TAMBORITA ES LA PANZA DE LA IGUANA, PA’L CHANEQUE TAMBORITA ES LA PANZA DE LA IGUANA, VAQUETA DE VIBORITA A SONARLE, A VER QUIÉN GANA, QUE EL BAILE COMIENCE AHORITA QUE TERMINE EN LA MAÑANA. ¡QUE TERMINE EN LA MAÑANA! DE VIOLÍN, UNA TORTUGA, VAMOS A HACERLE COSQUILLAS, DE VIOLÍN, UNA TORTUGA, VAMOS A HACERLE COSQUILLAS, PARA VER CÓMO SE ARRUGA, QUE VENGAN HUACHAS CHIQUILLAS. PARA VER CÓMO SE ARRUGA, ¡QUE BAILEN HUACHAS CHIQUILLAS! ¡QUE BAILEN HUACHAS CHIQUILLAS! PARA NADA ME DESPIDO, LOS HUACHES VAN A BAILAR, A LA IGUANA YO LE PIDO HUARACHES PA’ ZAPATEAR, DEL CHANEQUE NO ME OLVIDO CON ÉL ME VOY A CANTAR, ESE CHANEQUE ATREVIDO CONTIGO QUIERE BAILAR ¡CONTIGO QUIERE BAILAR!",ESPAÑOL_REGIONAL
CANTACUENTOS,CUCARACHAS CALENTANAS,CANTACUENTOS ||| CUCARACHAS CALENTANAS,,"CUCARACHAS CALENTANAS, LAS QUE VUELAN POR EL PLAN. CUCARACHAS CALENTANAS, LAS QUE VUELAN POR EL PLAN. PLATICAN CON LAS IGUANAS EN EL MERO APATZINGÁN Y SE DIVIERTEN CON GANAS EN BUENAVISTA TOMATLÁN. ¡AY! LA, LA, LÁ, LA, LAI, LA, LÁ. TILALALAI, LA, LA, LA, LA, LA, LA, LÁ.",LENGUA_INDIGENA
CANTACUENTOS,EL MINUETO DE LAS TORTUGAS,CANTACUENTOS ||| EL MINUETO DE LAS TORTUGAS,,"EN LA PLAYA ESTÁN DE FIESTA PORQUE YA NACIERON LAS TORTUGAS. SALIERON DE ENTRE LA ARENA LA GOLFINA, LA LAÚD Y LA NEGRA. CORREN A LAS OLAS, YA QUIEREN NADAR. VAN BAILANDO MUY CONTENTAS ESTE MINUETO EN EL MAR.",ESPAÑOL_ESTANDAR
CANTACUENTOS,EL POTRO Y EL ALACRÁN,CANTACUENTOS ||| EL POTRO Y EL ALACRÁN,,"EL POTRO Y EL ALACRÁN ¡AY!, UN ALACRÁN ASUSTADO DIJO AL POTRO BAILADOR: ¡AY! SI COMETES UN ERROR ¡QUE TE AGARREN CONFESADO! ¡AY! EL CABALLITO BAILABA EN EL FESTEJO DE OCTUBRE CUANDO DE PRONTO DESCUBRE A UN ALACRÁN QUE LE HABLABA, QUE BIEN FUERTE LE GRITABA. ESTABA ENCORAJINADO SONABA DESGAÑITADO. ¡AY! LE DECÍA: “¿QUÉ NO ME VES? ¿NADIE TE DIJO CÓMO ES UN ALACRÁN ASUSTADO?” ¡AY! LA FIESTA DE APATZINGÁN DONDEQUIERA SE CONOCE, NO ES RARO, PUES, QUE LA GOCE HASTA EL MÁS BRAVO ALACRÁN. DE LOS MÁS GÜEROS DEL PLAN. ESTE ERA COMPOSITOR CONOCIDO VERSADOR ¡AY!, ¿POR QUÉ NO VAS A OTRO LADO? YA ME TRAES TODO CISCADO DIJO AL POTRO BAILADOR ¡AY! NO CREAS QUE AL MIRARTE SUDO POR MIEDO DE QUE ME PISES CABALLITO, QUÉ ME DICES PARECIERA QUE ERES MUDO ¿O MI REGAÑO TE PUDO? ¿NO SERÁ POR LA CALOR? ¿DÓNDE QUEDÓ TU VALOR? ¡AY!, NO QUISIERA AMENAZARTE PERO TENDRÉ QUE PICARTE SI COMETES UN ERROR ¡AY! CÓMO BAILÓ AQUELLA TARDE POR EL MIEDO AQUÉL CABALLO. ¡AY! HASTA LE SALIÓ UN CALLO QUE HASTA LA FECHA LE ARDE, QUE LO HACE QUE SE RETARDE ¡AY! APRENDIÓ A BAILAR DE LADO TODO MUNDO ESTÁ ADMIRADO, ¡AY! PARA ÉL NO ES DIVERTIDO SI EL ALACRÁN LE HA ADVERTIDO: ¡QUE TE AGARREN CONFESADO! ¡AY! NO QUISIERA DESPEDIRME SIN VER BAILAR AL CABALLO ¡AY! VOY A VER DÓNDE LO HALLO Y SI NO, POS TENGO QU’IRME.",ESPAÑOL_REGIONAL
CANTACUENTOS,IHUATSÏ,CANTACUENTOS ||| IHUATSÏ,,"IHUATSÏ COYOTE, COYOTE, ¿QUÉ HACES AQUÍ? LOS NACATAMALES SON PARA LA FIESTA Y SI NO SE CUECEN ¿QUÉ VOY A INVITAR? COYOTE, COYOTE, ¿QUÉ HACES AQUÍ? ESCONDERÉ LAS GALLINAS, ENCERRARÉ LAS VAQUILLAS, LOS PIPICHU SAPIRHATI LEJOS DE TI.",LENGUA_INDIGENA
CANTACUENTOS,JANIKUA,CANTACUENTOS ||| JANIKUA,,"JANIKUA ASOMA POR EL AUNDARU SUS TRENZAS DE AGUA EN BLANCO LISTÓN. LA LLUVIA COMIENZA YA SU ALEGRE DANZA, TATA JURATA LA VE Y SONRÍE. CON SIETE BESOS LE FORMA UN ARCOIRIS MULTICOLOR. YA LOS VENADOS VIENEN PARA CASARSE. EL ARCOIRIS LE BORDA FLORES MARAVILLOSAS, MIENTRA TARHÍATA TOCA EN SU CLARINETE MARCHA NUPCIAL.",ESPAÑOL_REGIONAL
CANTACUENTOS,LAGARTIJA BESUCONA,CANTACUENTOS ||| LAGARTIJA BESUCONA,,"¿QUÉ LE HICIERON A LA CUIJA? LE HAN ROTO SU CORAZÓN, POBRECITA LAGARTIJA, HA PERDIDO LA RAZÓN. CREE QUE SU NOVIO ES EL VIENTO, QUE UNA BRUJA LO HECHIZÓ, COMPROBARÁS QUE NO MIENTO, SIMPLEMENTE ENLOQUECIÓ. CUIJA, NO MANDES BESOS AL AIRE, CORRAS O ANDES TE HARÁ UN DESAIRE. VOY A BUSCARTE UNA ESCOBA PARA QUE PUEDAS VOLAR ¡AY, LAGARTIJA ERES BOBA! ¡AY, LAGARTIJA ERES BOBA! ¿CÓMO TE PODRAS CALMAR? PÁLIDA ESTÁ, DESPINTADA, MERO QUEDÓ SIN COLOR, MIL BESOS, DESESPERADA, MANDA AL VIENTO CON FERVOR. LANZA BESOS A TODA HORA NADA LA PUEDE CALMAR, YO LA QUIERO CONSOLAR, NO ME GUSTA CÓMO LLORA. CUIJA, NO MANDES… VOY A BUSCARTE UNA ESCOBA…",ESPAÑOL_REGIONAL
CANTACUENTOS,MARIANA,CANTACUENTOS ||| MARIANA,,"¡QUÉ ALEGRE SE MIRA EL CERRO! EL DE LA HUACHA MARIANA, POR DONDE CORRE MI PERRO CON LAS VACAS, DE MAÑANA, VA CUIDANDO ALGÚN BECERRO MIENTRAS SUENA SU CAMPANA. LAS VACAS CON SU CENCERRO Y CROANDO VA LA RANA. SILALALA LALAILALÁ SILALALÁLALALAILALALÁ. MARIANA FUE UNA HUACHITA ‘ORA PARECE MONTAÑA QUE A VISITARLA ME INVITA YO QUISIERA SER ARAÑA, TRAPARÍA A SU CIMA AHORITA TEJIENDO MI TELARAÑA PA’ HACERLE UNA PREGUNTITA, ESTOY HECHA UNA MARAÑA. SILALALA LALAILALÁ SILALALÁLALALAILALALÁ. LAS NUBES SON SU COBIJA, LA NEBLINA, SU REBOZO, ME DIJO UNA LAGATIJA QUE EN EL MONTE TODO ES GOZO, QUE A SU CIMA ME DIRIJA Y OJALÁ QUE ENCUENTRE AL MOZO QUE ROMPA LO QUE LA HECHIZA PARA PODER SER SU ESPOSO. SILALALA LALAILALÁ SILALALÁLALALAILALALÁ.",LENGUA_INDIGENA
CANTACUENTOS,MISITU SAPICHU TURHÍPITI,CANTACUENTOS ||| MISITU SAPICHU TURHÍPITI,,"MISITU SAPICHU TURHÍPITI MISITU SAPICHU TURHÍPITI, GATITO PIRERI, KUKUTA, LA LUNA SONRÍE AL OIRLO CANTANDO SE ASOMAN ESTRELLAS CURIOSAS, EL GATO SE PIERDE EN LA NOCHE TURHÍPITI NEGRO, CON LA NANA UARHI. MISITU SAPICHU TURHÍPITI NO OYES CONSEJO, Y PUEDES PERDERTE MUY FÁCIL PORQUE ERES MUY VAGO, MIRINGUA TE BUSCA EN LA NOCHE SE ACERCA YA POR EL BARRANCO Y VIENE A HECHIZARTE SI TÚ NO OBEDECES. ¿ACASO NO OYES? LA CHUZA TE LLAMA, EN UN EUCALIPTO EL TÚKURU LLORA Y EL UICHU ARHINTANI. REGRESA MISITU SAPICHU, TU MAMA TE ESPERA. MISITU SAPICHU TURHÍPITI CANTAS PIREKUAS, LA LUNA SE PONE MUY BLANCA PORQUE TIENE MIEDO, CONTEMPLA ASUSTADA A MIRINGUA PUES SABE QUE TE ANDA BUSCANDO, PERO NO HACES CASO Y NO LA OBEDECES. MIRINGUA SE ACERCA BAILANDO UN SON ABAJEÑO Y MUEVE LA EP’U CON GRACIA, LUCE SUS TEPEKUA, TE QUIERE LLEVAR A SU CASA, TE PIDO MEJOR NO TE ACERQUES PORQUE ANDA BUSCANDO UN GATITO NEGRO. ¿ACASO NO OYES? LA CHUZA TE LLAMA, EN UN EUCALIPTO EL TÚKURU LLORA Y EL UICHU ARHINTANI. REGRESA MISITU SAPICHU, TU MAMA TE ESPERA.",LENGUA_INDIGENA
