batch,status,exit_code,file_count,output_file
1,ok,0,25,review-reports/code-review-20260530-114132/batch_001.log
2,ok,0,25,review-reports/code-review-20260530-114132/batch_002.log
3,ok,0,15,review-reports/code-review-20260530-114132/batch_003.log
